County,EastWest,rref_max,sage_ac_max,sage_restor_max,tide_max,ag_cc_max,ag_notill_max
Adams,East,0,30911.31,0,0,150917.5266,112308.4587
Asotin,East,910.62,10626.03,6499.44,0,16159.71901,10118.97109
Benton,East,0,54802.8,0,0,95721.18895,63898.30066
Chelan,East,3439.8,30302.01,532.5763091,0,5883.729754,89.435606
Clallam,West,4301.01,0,0,2.947135,1492.279625,372.715806
Clark,West,5596.38,0,0,7929.171116,4924.219248,557.859651
Columbia,East,2766.06,6223.14,926.64,0,30257.36051,21721.72339
Cowlitz,West,10905.84,0,0,12722.33259,2217.476937,1241.576648
Douglas,East,0,37915.38,2094.163452,0,110164.4323,62510.83471
Ferry,East,0,51913.26,0,0,3917.158137,355.921337
Franklin,East,0,27324.72,0,0,90410.89926,43032.6905
Garfield,East,1189.98,13167.81,0,0,36998.21521,30209.00053
Grant,East,0,37542.96,317.711514,0,162050.4384,96363.22329
Grays Harbor,West,15638.58,0,0,9773.834066,3462.493416,1254.728943
Island,West,48.96,0,0,2065.513135,1391.512811,186.560246
Jefferson,West,2995.65,7907.58,0,73.16217,751.704245,32.981909
King,West,10685.52,7315.92,0,16.717872,3781.993013,791.970502
Kitsap,West,70.38,0,0,0,467.41233,45.122489
Kittitas,East,17838.72,38350.89,1.357688687,0,14377.07718,1707.77492
Klickitat,East,6277.59,39863.25,56418.60776,0,46432.25524,20348.42145
Lewis,West,14773.77,0,0,0,10217.71447,1226.603266
Lincoln,East,0,27292.86,186.6323452,0,165310.5888,127517.5703
Mason,West,2954.52,7159.5,0,578.266271,736.123834,28.935049
Okanogan,East,7677.9,134136.99,9886.917518,0,19967.20724,4640.332019
Pacific,West,3750.57,0,0,11918.13964,3132.067297,304.526215
Pend Oreille,East,967.41,6512.49,0,0,3847.147459,285.30363
Pierce,West,8752.86,0,0,196.51016,2439.851894,642.236682
San Juan,West,0,0,0,0,1181.480777,176.645439
Skagit,West,23617.26,5912.19,0,33776.1065,13298.1843,7699.960522
Skamania,West,2016.99,8883.27,0,281.820604,472.470905,5.665604
Snohomish,West,16242.03,0,0,19483.97347,6793.666225,2580.277936
Spokane,East,4184.19,41315.04,0,0,76643.07685,52481.90625
Stevens,East,0,54004.23,0,0,15602.26404,3586.124989
Thurston,West,5485.77,0,0,1483.002326,4473.601387,368.26426
Wahkiakum,West,1256.13,0,0,9481.722399,1041.661764,0
Walla Walla,East,9880.92,18510.84,0,0,114486.8835,71189.933
Whatcom,West,15850.17,4621.95,0,6374.611895,15288.02537,3438.212256
Whitman,East,0,14209.38,0,0,208963.2583,179945.6533
Yakima,East,35865.63,71475.57,129.4692232,0,69596.48188,27314.28157